Marks,Intensity(V)
,1.061511
,0.024641
,0.026699
,0.026924
,0.035523
,0.069695
6556,0.183216
,0.374516
,1.463979
,3.020628
,3.563250
,3.227924
,2.385575
,1.725947
,1.249489
,0.689159
,0.538736
,0.545827
,0.681783
,1.177640
,1.562095
,1.778826
,1.622411
,1.113819
,0.669760
,0.409076
,0.255983
,0.192019
,0.179283
,0.118702
,0.091030
,0.077764
,0.067066
,0.054575
,0.044122
,0.038009
,0.027188
,0.023072
,0.020627
,0.019506
6550,0.016653
,0.016429
,0.016470
,0.015859
,0.015472
,0.014371
,0.014901
,0.013312
,0.013801
,0.013882
,0.014514
,0.013312
,0.013556
,0.013760
